gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000000374,Trappc10,24.38,28.01,32.18,14.37,17.23,25.74,22.33,21.06,14.78,19.72
ENSMUSG00000000378,Ccm2,6.63,4.47,6.72,6.87,5.16,3.86,4.21,4.34,6.18,6.32
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,16.93,17.39,20.12,12.27,16.69,13.76,14.6,16.17,10.41,16.14
ENSMUSG00000000385,Tmprss2,0.08,0.1,0.1,0.19,0.25,0.33,0.17,0.01,0.32,0.27
ENSMUSG00000000386,Mx1,0.18,0.06,0.16,0.32,0.05,0,0.26,0.05,0.08,0.04
ENSMUSG00000000392,Fap,2.12,1.7,3.72,5.84,4.03,0.84,3.36,2.61,7.55,6.77
ENSMUSG00000000394,Gcg,0.01,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,42.01,36.13,34.51,29.75,24.62,30.16,42.14,42.6,31.07,35.08
ENSMUSG00000000402,Egfl6,0.48,0.46,0.25,0.1,0.09,0.52,0.62,0.46,0.17,0.45
ENSMUSG00000000409,Lck,0.47,0.19,0.52,0.4,0.24,0.39,0.3,0.27,0.16,0.49
ENSMUSG00000000411,Tssk3,0.02,0,0.02,0.03,0,0,0.05,0,0.01,0.01
ENSMUSG00000000416,Cttnbp2,14.73,19.16,19.93,3.2,9.94,19.29,13.89,18.87,9.38,9.75
ENSMUSG00000000420,Galnt1,30.16,25.1,32.86,28.12,29.28,21.44,24.36,23.76,26.85,31.49
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,14.7,14.07,15.16,9.77,11.15,15.66,15.52,14.57,9.85,12.24
ENSMUSG00000000440,Pparg,0.13,0.06,0.15,0.17,0.23,0.07,0.09,0.15,0.2,0.17
ENSMUSG00000000441,Raf1,26.33,27.57,29.86,26.94,25.62,27.92,27.91,30.11,25.43,27.87
ENSMUSG00000000486,Sept1,1.19,1.62,0.79,0.71,1.24,0.76,1.66,0.93,1.35,1.36
ENSMUSG00000000489,Pdgfb,7.89,9.1,9.08,12.94,9.02,5.33,9.49,8.99,10.36,7.31
ENSMUSG00000000530,Acvrl1,2.34,2.22,3.14,3.79,4.51,1.14,2.87,1.93,5.12,4.5
ENSMUSG00000000531,Grasp,1.03,1.15,1.18,2.1,2.24,0.69,1.26,0.85,2.17,1.98
ENSMUSG00000000532,Acvr1b,25.63,23.87,23.56,16.35,14.66,16.45,17.77,18.32,11.76,15.66
ENSMUSG00000000538,Tom1l2,35.17,38.17,33.48,25.8,28.79,36.71,36.36,33.65,26.98,26.56
ENSMUSG00000000544,Gpa33,5.51,4.25,5.05,4.94,5.01,1.8,4.11,3.85,3.8,5.71
ENSMUSG00000000552,Zfp385a,77.76,98.08,90.01,48.4,52.29,97.83,69.48,62.79,40.29,51.5
ENSMUSG00000000555,Itga5,8.26,7.19,15.38,10.53,11.36,3.84,6.8,5.16,9.9,9.11
ENSMUSG00000000560,Gabra2,0,0,0,0,0,0.01,0,0,0,0
ENSMUSG00000000561,Wdr77,14.13,13.03,13.72,13.4,13.59,11.85,12.56,14.19,11,16.07
ENSMUSG00000000562,Adora3,0.24,0.11,0.11,0.03,0.07,0.11,0.18,0.16,0.04,0.09
ENSMUSG00000000563,Atp5f1,112.79,86.68,92.87,87.46,68.94,95.1,104.02,117.39,94.16,94.17
ENSMUSG00000000567,Sox9,41.83,53.56,65.88,65.91,51.38,41.24,50.71,47.83,46.83,55.27
ENSMUSG00000000568,Hnrnpd,73.29,73.61,86.25,51.56,59.32,62.01,62.49,68.93,46.28,64.04
ENSMUSG00000000579,Dynlt1c,2.04,1.64,1.28,1.76,1.5,0.94,1.36,1.34,2.09,2.87
ENSMUSG00000000581,C1d,24.85,19.83,24.82,23.31,18.74,18.25,28.8,30.74,23.9,22.61
ENSMUSG00000000594,Gm2a,36.03,58.58,38.82,72.58,58.94,55.49,46.11,44.58,48.12,44.1
ENSMUSG00000000600,Krit1,6.63,6.16,6.04,7.87,6.55,4.4,5.79,5.98,9.93,11.98
ENSMUSG00000000605,Clcn4-2,19.43,17.98,19.9,18.08,17.06,17.53,22.9,19.6,18.19,18.68
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000627,Sema4f,0.45,0.6,0.92,1.43,1.31,0.33,0.35,0.27,0.97,1.71
ENSMUSG00000000628,Hk2,16.84,19.8,20.65,15.21,25.51,17.49,12,9.65,10.84,16.61
ENSMUSG00000000631,Myo18a,132.06,138.43,132.43,95.81,85.66,106.55,100.44,88.44,69.47,77.58
ENSMUSG00000000632,Sez6,0,0,0.02,0,0,0,0,0.02,0.01,0
ENSMUSG00000000673,Haao,1.02,0.68,0.58,0.29,0.4,0.16,0.42,0.47,0.33,0.91
ENSMUSG00000000682,Cd52,13.9,4.9,7.94,2.36,3.33,5.67,7.01,9.52,6.22,4.46
ENSMUSG00000000686,Abhd15,0.56,0.28,0.53,0.47,0.61,0.39,0.41,0.34,0.45,0.96
ENSMUSG00000000690,Hoxb6,0.29,0.12,0.28,0.2,0.26,0.02,0.17,0.19,0.21,0.25
ENSMUSG00000000693,Loxl3,2.23,1.18,2.03,6.93,5.78,1.14,2.67,1.77,6.48,8.68
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0.03,0.02,0,0.05,0.2,0.01,0.03,0.01,0.04,0.04
ENSMUSG00000000708,Kat2b,7.23,8.04,7.99,6.96,6.02,6.94,7.65,6.5,6.8,8.4
ENSMUSG00000000711,Rab5b,41.36,41.31,39.8,37.03,31.53,43.33,47.17,44.43,33.76,36.3
ENSMUSG00000000724,Cryba1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000730,Dnmt3l,1.64,0.94,0.58,0.74,0.3,0.55,1.07,0.6,0.64,1.12
ENSMUSG00000000731,Aire,0.05,0.01,0,0,0.01,0,0,0,0.05,0.09
ENSMUSG00000000732,Icosl,7.33,7.44,5.96,5.13,4.58,4.83,6.66,4.51,5.72,5.36
ENSMUSG00000000738,Spg7,11.81,11.24,12.49,8.31,8.5,9.92,8.64,9.41,8.19,9.2
ENSMUSG00000000739,Sult5a1,0.31,0.61,0.54,0.53,0.25,0.42,0.78,0.48,0.41,0.71
ENSMUSG00000000740,Rpl13,1345.71,1100.27,1256.79,808.48,586.29,1260.03,1486.68,1619.49,777.04,1022.04
ENSMUSG00000000743,Chmp1a,86.81,89.8,77.59,75.37,51.93,93.7,102.99,101.29,58.48,65.28
ENSMUSG00000000751,Rpa1,24.2,24.03,29.85,20.26,27.13,21.59,19.74,22.85,21.01,33.67
ENSMUSG00000000753,Serpinf1,36.38,32.48,41.22,121.99,135.39,15.23,50.11,36.1,112.92,112.34
ENSMUSG00000000759,Tubgcp3,10.59,9.21,9.6,8.29,8.5,8.17,10.05,8.58,10.97,12.47
ENSMUSG00000000766,Oprm1,0,0,0,0,0,0.01,0,0,0,0
ENSMUSG00000000776,Polr3d,9.47,8.75,10.89,10.95,9.25,6.78,7.37,5.94,9.67,10.31
ENSMUSG00000000782,Tcf7,14.95,13.44,24.22,27.25,37.23,7.8,11.43,10.16,22.07,33.73
ENSMUSG00000000787,Ddx3x,135.26,134.73,144.35,149,118.02,150.87,155.02,139.27,118.16,163.06
ENSMUSG00000000791,Il12rb1,0.06,0.18,0.07,0.12,0.17,0.09,0.08,0.14,0.23,0.13
ENSMUSG00000000792,Slc5a5,0.17,0.1,0.15,0.24,0.22,0.11,0.07,0.12,0.08,0.14
ENSMUSG00000000794,Kcnn3,0.41,0.47,0.52,0.41,0.64,0.29,0.28,0.41,0.46,0.86
ENSMUSG00000000804,Usp32,13.46,14.88,19.59,14.19,19.79,14.89,12.63,12.96,12.51,14.81
ENSMUSG00000000805,Car4,0.02,0.08,0,0,0,0,0,0,0,0
ENSMUSG00000000811,Txnrd3,13.33,13.53,15.24,12.19,12.63,13.77,14.39,14.87,10.87,14.08
ENSMUSG00000000817,Fasl,0.06,0,0.06,0.01,0.02,0.01,0.05,0,0.08,0.02
ENSMUSG00000000823,Znf512b,14.56,14.7,16.51,11.37,14.13,10.29,11.49,9.03,10.61,13.11
ENSMUSG00000000826,Dnajc5,28.26,32.49,33.01,24.88,25.26,26.11,29.68,28.42,20.46,23.7
ENSMUSG00000000827,Tpd52l2,71.67,58.85,64.03,57.12,39.55,55.62,76.75,77.9,57.64,61.12
ENSMUSG00000000838,Fmr1,16.41,13.63,17.63,12.59,12.16,12.41,15.13,13.13,12.9,18.46
ENSMUSG00000000861,Bcl11a,32.31,30.25,24.76,28.4,16.31,24.35,27.86,26.22,22.35,20.3
ENSMUSG00000000869,Il4,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000876,Pxmp4,8.51,6.11,7.62,5.21,5.56,6.55,7.19,7.68,5.26,5.41
ENSMUSG00000000881,Dlg3,12.56,13.48,11.48,9.35,9.78,16.19,13.62,11.42,7.77,9.31
