gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000033688,1300017J02Rik,0.06,0.16,0.02,0.14,0.43,0,0.03,0.03,0.13,0.07
ENSMUSG00000033697,Arhgap39,4.15,4.76,5.57,5.67,12.69,3.09,2.27,2.25,3.29,5.8
ENSMUSG00000033701,Acbd6,29.13,30.89,34.9,14.09,19.89,33.92,25.46,24.91,12.8,16.81
ENSMUSG00000033703,Fuk,3.45,4.72,4.48,2.4,3.37,3.1,3.72,3.19,1.76,2.54
ENSMUSG00000033705,Stard9,0.37,0.47,0.64,0.51,0.56,0.25,0.33,0.26,0.54,0.48
ENSMUSG00000033706,Smyd5,5.08,4.59,6.57,4.77,8.18,4.08,3.94,3.74,3.65,4.17
ENSMUSG00000033707,Lrrc24,0.31,0.16,0.15,0.24,0.87,0.04,0.35,0.06,0.15,0.27
ENSMUSG00000033712,Ccar2,9.52,11.03,12.72,5.52,7.85,8.02,7.35,7.11,3.68,6.2
ENSMUSG00000033713,Foxn3,33.6,47.27,38.18,17.99,24.93,38.98,35.46,30.94,16.02,21.45
ENSMUSG00000033715,Akr1c14,0.03,0.09,0.06,0.16,0.09,0.06,0.23,0.05,0.11,0.21
ENSMUSG00000033717,Adra2a,0.37,0.42,0.88,0.3,0.56,0.18,0.38,0.2,0.44,0.49
ENSMUSG00000033720,Sfxn5,2.06,2.91,3.09,1.88,2.45,3.74,2.52,2.22,1.5,1.67
ENSMUSG00000033721,Vav3,23.88,22.23,29.67,16.63,14.04,20.35,16.83,20.42,14,25.3
ENSMUSG00000033722,BC034090,0.68,1.03,0.88,1.23,1.07,0.12,0.55,0.33,0.81,0.66
ENSMUSG00000033726,Emx1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033728,Lrrc14,3.85,5.02,4.56,3.91,3.73,3.45,3.5,3.13,2.1,3.38
ENSMUSG00000033730,Egr3,20.85,30.48,28.57,18.75,11.82,43.3,28.61,27.1,10.31,9.29
ENSMUSG00000033732,Sf3b3,21.52,25.42,28.53,18.01,24.04,17.71,15.88,16.69,12.21,20.06
ENSMUSG00000033735,Spr,19.08,18.2,20.46,10.3,11.92,16.08,14.08,15.94,8.44,10.1
ENSMUSG00000033737,Fndc3c1,0,0,0.02,0.01,0,0,0,0,0,0
ENSMUSG00000033739,Fkbpl,5.37,6.15,5.8,3.14,2.8,5.72,3.79,2.8,1.97,2.37
ENSMUSG00000033740,St18,0.09,0.04,0.13,0.11,0.08,0.05,0.06,0.07,0.07,0.1
ENSMUSG00000033751,Gadd45gip1,4.58,3.74,4.67,2.89,2.8,2.6,2.94,3.09,2.07,2.7
ENSMUSG00000033752,Mnd1,4.13,4.95,5.09,2.41,1.39,4.17,2.9,4.42,1.24,1.67
